장소  ,주차장 유무,주차장 위치,별점
호조벌,x,,4.33
용도수목원,o,용도수목원제1주차장,4.32
소래산산림욕장,x,,4.26
월곶포구,x,,3.6
오이도,x,,4.3
은계호수공원,x,,4.17
옥구공원,o,"옥구공원 제1주차장, 옥구공원 제2주차장, 옥구공원 제3주차장",4.18
배곧한울공원,o,"배곧한울공원 제1주차장, 배곧한울공원 제2주차장, 배곧한울공원 제3주차장, 배곧한울공원 제4주차장, 배곧한울공원 제5주차장, 배곧한울공원 제6주차장",4.29
갯골생태공원,x,,4.3
연꽃테마파크,o,시흥시농업기술센터주차장,4.15
군자봉,x,,4
물왕호수,o,물왕호수 공영 주차장,3.7
소래산 마애보살입상,x,,4.2
방산동 청자와 백자요지,x,,3.3
오이도 선사유적공원,o,오이도 선사유적공원 주차장,4.21
시흥 오이도 박물관,o,오이도박물관 부설주차장,4.79
생금집,x,,4.3
선사유적공원,o,시흥 오이도 선사유적공원 주차장,4.3
소래산 산림욕장,x,,4.26
웨이브 파크,o,"웨이브 파크 지하주차장, 웨이브 파크 제2주차장",4.33
오아시스,x,,4.4
맑은물상상누리,x,,4.3
시흥시농업기술센터 천문관,o,시흥시농업기술센터주차장,4.2
따오기 아동문화관,o,시흥시농업기술센터주차장,4.33
갯골 캠핑장,o,갯골 캠핑장 주차장,4.5
벅스리움,o,옥구공원 제3주차장,4.7
삼미시장,o,삼미시장 주차장,
정왕시장,x,,
도일시장,o,도일시장 주차장,
오이도 전통 수산시장,x,,
