장소  ,주차장 유무,주차장 위치,별점
올리앤 시흥점,O,경기 시흥시 대야동 1-49,4.4
마르,O,경기도 시흥시 산현동 284-6,4.2
푸코피제리아,X,경기도 시흥시 하중동 874-6 201호,4.6
바오스앤밥스,O,경기도 시흥시 월곶동 1013-3 4층,4.1
베러스퀘어,O,경기도 시흥시 월곶동 757-1,4.2
선식당,O,경기도 시흥시 능곡동 537,5
무지식당,X,경기도 시흥시 무지내동 282-2,4.1
별미지교 시흥점,O,경기도 시흥시 정왕동 2523 101호 별미지교,4.1
고구려짬뽕집,O,경기도 시흥시 신천동 587-18,4
멘아리,X,경기도 시흥시 대야동 487-10,4.8
미에루,O,경기도 시흥시 배곧동 216,4.5
아초원시흥점,O,경기도 시흥시 물왕동 116-1,4.2
본파스타 시흥플랑드르점,O,경기도 시흥시 능곡동 871,5
밤새먹소 시흥본점,X,경기도 시흥시 안현동 385-1,4.2
난곡재,X,경기도 시흥시 군자동 402-3,4.1
미즈컨테이너 시흥신세계프리미엄아울렛점,O,경기도 시흥시 정왕동 1772-7 시흥프리미엄아울렛,4.3
곤봉식객,X,경기도 시흥시 대야동 556-4,4.7
생활초밥,O,경기도 시흥시 은행동 646,4.4
화룡,X,경기 시흥시 뱀내장터로 21 대야동도면상1층4호,4.4
시흥 감자탕 본점,O,경기도 시흥시 미산동 283,4.3
봉순게장 시흥점,X,경기도 시흥시 대야동 148-2,4.2
라무진 시흥배곧점 Ramuzin,O,경기도 시흥시 은행동 646-11 미림프라자 103호,4.8
맛객,O,경기도 시흥시 정왕동 1727-2,4
조개브라더스,O,경기도 시흥시 정왕동 2006-12,4.5
서가앤쿡 시흥배곧 아브뉴프랑,O,경기도 시흥시 배곧동 220,4.4
정왕동맛집 생금마을,X,경기도 시흥시 죽율동 646-3,4.2
참나무누룽닭,X,경기도 시흥시 정왕동 1742-21,4.5
갈비꽃 시흥은계점,X,경기도 시흥시 대야동 654-1,4.6
시흥각,X,경기도 시흥시 하중동 451-1,4.2
브런치빈 시흥대야점,O,경기도 시흥시 대야동 290-5,4.2
복사꽃피는집 시흥점,O,경기도 시흥시 하중동 351-1,4.2
백년상회,O,"경기 시흥시 정왕동 1771-31 해든트윈스오피스텔 120호,121호",4.3
이학갈비 시흥점,O,경기도 시흥시 계수동 116,4.1
산현농장,O,경기도 시흥시 산현동 1,4.3
우미게장,O,경기도 시흥시 계수동 278-12,4.3
하루엔소쿠 시흥 플랑드르점,O,경기도 시흥시 능곡동 235-1,4.7
안동장터소고기국밥 시흥본점,O,경기도 시흥시 물왕동 255-1,4
타우히엔식당,X,경기도 시흥시 정왕동 1824-5,5
진짬뽕,X,경기도 시흥시 은행동 289-5,4.1
삼겹식당 시흥농곡점,O,경기도 시흥시 능곡동 750,5
인기명 시흥배곧점,O,경기도 시흥시 배곧동 191,4
시흥감자탕 목감점,X,경기도 시흥시 조남동 169-1,4.1
스시 유우히,O,경기도 시흥시 정왕동 2522 레드B동 2층 233호,5
맛닭꼬 시흥신천점,X,경기도 시흥시 신천동 888-6,4
회식자리,X,경기도 시흥시 정왕동 1183-4,4
시흥국수김밥메이드인헬퍼,O,경기도 시흥시 대야동 554-1,4.9
셀프국밥(인하찹쌀순대 시흥직영점),O,경기도 시흥시 하중동 459-1,4
호아빈 시화점,O,경기도 시흥시 정왕동 1738-5,4
낙원갈비집 시흥스타필드점,O,경기도 시흥시 계수동 171-11,4.1
힘찬한우,O,경기도 시흥시 정왕동 1780-3,4
팔각도 시흥배곧점,O,경기도 시흥시 배곧동 200-2,4.3
무공돈까스 시흥장곡점,O,경기도 시흥시 장곡동 196,4.8
정정아식당,O,경기도 시흥시 정왕동 1730-4,4.2
광릉불고기,O,경기도 시흥시 월곶동 487-4,4.2
홍익돈까스 시흥대야점,O,경기도 시흥시 대야동 376-50,4
오봉집 시흥능곡점,X,경기도 시흥시 능곡동 211-1,4
장금이(연밥정식),O,경기도 시흥시 산현동 411,4.1
백년식당,O,경기도 시흥시 배곧동 230,4.8
업텐브로 피자- 시흥점,X,경기도 시흥시 정왕동 1809-2,4.6
버거리 시흥센트럴푸르지오점,O,경기도 시흥시 대야동 693,4
청춘조개,O,경기도 시흥시 정왕동 2030-11,4.6
고집132 시흥능곡역점,O,경기 시흥시 능곡동 211-1,4
민들레홍스 시흥배곧점,O,경기 시흥시 서울대학로278번길 67 롯데마트 배곧점 2층 E/V 앞,4.9
최고당돈가스 시흥장현점,O,경기도 시흥시 장곡동 196,4
시흥 서퍼스파라다이스,O,경기도 시흥시 정왕동 2690 3층 305~208호,4.5
배곧어촌마을,X,경기도 시흥시 배곧동 133,4
장사랑 시흥프리미엄아울렛점,X,경기도 시흥시 정왕동 2398,4
등촌칼국수 시흥 능곡점,O,경기도 시흥시 배곧동 125,4
경아식당 배곧점,O,경기도 시흥시 배곧동 193-1,5
탐라담,O,경기도 시흥시 정왕동 2515-1,4.3
진솥,O,경기도 시흥시 은행동 608-7,4
참소예,O,경기도 시흥시 물왕동 331-4,4.1
보리네생고깃간시흥목감점,O,경기도 시흥시 조남동 684-2 2층,4.4
두부공작소 시흥은계점,O,경기도 시흥시 은행동 601-302,5
이루다자가제면소,O,경기 시흥시 동서로 768 1층 이루다제면소 본점,4.2
무모한초밥 시흥능곡역점,X,경기 시흥시 장현능곡로 188 110호,5
본래순대시흥점,X,경기 시흥시 시흥대로 169,4
스시노칸도 시흥플랑드르점,O,경기도 시흥시 능곡동 871,4.2
화목칼국수 인천대공원점,O,경기도 시흥시 신천동 599-2,4.9
흙과사람들,O,경기도 시흥시 대야동 562-5,4
무한게장,O,경기도 시흥시 대야동 16,4.3
